SCIENTIFIC_NAME	DISTRIBUTION
Ficus microcarpa var. hilli	New Caledonia
Ficus microcarpa var. microcarpa	Central E QLD to Torres Strait
Ficus nodosa	NSW coast to central QLD
Ficus obliqua	E Australia
Ficus obliqua	New Guinea
Ficus obliqua	E Indonesia to Sulawesi
Ficus obliqua	islands in the southwestern Pacific Ocean
Ficus platypoda	Central and northern Australia
Ficus racemosa	Australia
Ficus racemosa	Malesia
Ficus racemosa	Indo-China
Ficus racemosa	the Indian subcontinent
Ficus racemosa var. racemosa	N Australia to SE Asia
Ficus rubiginosa	E QLD
Ficus rubiginosa forma glabrescens	E QLD
Ficus septica	Northeast India to North Australia
Ficus superba var. henneana	NSW
Ficus superba var. henneana	QLD
Ficus superba var. henneana	NT
Ficus virens	NT
Ficus virens	QLD
Ficus virens	WA
Ficus virens	Mal
Ficus virens	Asia
Ficus virens var. sublanceolata	NT
Ficus virens var. sublanceolata	QLD
Ficus virens var. sublanceolata	WA
Ficus virens var. sublanceolata	Mal
Ficus virens var. sublanceolata	Asia
Ficus virens var. virens	NT
Ficus virens var. virens	QLD
Ficus virens var. virens	WA
Ficus virens var. virens	Mal
Ficus virens var. virens	Asia
Ficus watkinsiana	Eastern Australia
Flindersia australis	NE QLD - NE NSW
Flindersia bennettii	NSW to QLD
Flindersia brayleyana	N QLD
Flindersia collina	NE QLD to N NSW
Flindersia schottiana	E QLD
Flindersia schottiana	NE NSW
Flindersia xanthoxyla	SE QLD
Flindersia xanthoxyla	NE NSW
Fraxinus angustifolia subsp. syriaca	W Asia
Geijera parviflora	Central inland QLD to Central inland NSW
Glochidion ferdinandi	Eastern Australia
Glochidion sp.	Eastern Australia
Glochidion sumatranum	Australia
Glochidion sumatranum	New Guinea
Glochidion sumatranum	Indonesia
Gmelina fasciculiflora	NE QLD
Gmelina leichhardtii	NE QLD - SE NSW
Grevillea baileyana	N QLD
Grevillea baileyana	 Papua New Guines
Grevillea hilliana	N NSW to N QLD
Grevillea robusta	SE QLD
Grevillea robusta	 NE NSW
Guioa semiglauca	Central E QLD to SE NSW
Gyrocarpus americanus	NE QLD to SE NSW
Harpullia hillii	E NSW
Harpullia hillii	 QLD
Harpullia pendula	E QLD
Harpullia pendula	 NE NSW
Hibiscus heterophyllus	NSW coast to central QLD
Hymenosporum flavum	QLD
Hymenosporum flavum	 NSW
Jacaranda mimosifolia	South America
Jagera pseudorhus var. pseudorhus	E QLD
Jagera pseudorhus var. pseudorhus	 NE NSW
Jagera pseudorhus var. pseudorhus	 New Guinea
Lagunaria patersonii	Norfolk Island
Lagunaria patersonii	 Lord Howe Island
Lepiderema sp. (Impulse Creek)	CE QLD
Libidibia ferrea	Brazil
Libidibia ferrea	 Bolivia
Livistona australis	NEQ
Lophostemon confertus	E QLD
Lophostemon confertus	 CE NSW
Lophostemon suaveolens	E QLD
Lophostemon suaveolens	 NE NSW
Lophostemon suaveolens	 NG
Lysiphyllum carronii	QLD
Lysiphyllum hookeri	NE - CE QLD
Lysiphyllum hookeri	 NT
Lysiphyllum hookeri	 WA
Macadamia integrifolia	SE QLD
Macadamia ternifolia	SE QLD
Macaranga tanarius	South East Asia
Macaranga tanarius	 Thailand
Macaranga tanarius	 Papua New Guinea
Macaranga tanarius	 Taiwan
Macaranga tanarius	 eastern Australia
Mallotus claoxyloides	E Australia
Mallotus philippensis	N Australia
Mallotus philippensis	 E QLD to SE NSW
Mallotus philippensis	New Guinea
Mallotus philippensis	 SE Asia
Mangifera indica	SE Asia
Maytenus bilocularis	NE QLD
Maytenus bilocularis	 Central E QLD to Central E NSW
Melaleuca bracteata	QLD
Melaleuca bracteata	 N NSW
Melaleuca decora	Central QLD to SE NSW
Melaleuca decora/ melaleuca linariifolia	Central QLD to SE NSW
Melaleuca leucadendra	N Australia
Melaleuca leucadendra	 SE Asia
Melaleuca leucadendra	 New Guinea
Melaleuca leucadendra	 Torres Strait Islands
Melaleuca linariifolia	C QLD - SE NSW
Melaleuca quinquenervia	N and E QLD to SE NSW
Melaleuca salicina	NE QLD to Central E NSW
Melaleuca saligna	CYP
Melaleuca styphelioides	SE QLD
Melaleuca styphelioides	 Central QLD
Melaleuca viminalis subsp. viminalis	QLD
Melaleuca viminalis subsp. viminalis	 NSW
Melaleuca viridiflora	QLD
Melaleuca viridiflora	 NSW
Melia azedarach	QLD
Melia azedarach	 E NSW
Melia azedarach	 SE Asia
Melicope elleryana	E QLD
Melicope elleryana	 NE NSW
Melicope rubra	CYP
Melicope rubra	 NEQ
Melicope rubra	 New Guinea
Millettia pinnata	NE - CE QLD
Millettia pinnata	 NT
Millettia pinnata	 NG
Millettia pinnata	 Malesia
Millettia pinnata	Asia
Millettia pinnata	 Pacific Is
Nauclea orientalis	Southeast Asia
Nauclea orientalis	 New Guinea
Nauclea orientalis	 Australia
Neisosperma kilneri	CEQ
Ochrosia elliptica	CE QLD - NE QLD
Ochrosia elliptica	 Lord Howe Island
Ochrosia elliptica	 New Caledonia
Olea paniculata	N QLD to Central E NSW
Owenia venosa	SE QLD
Owenia venosa	 Central QLD
Pandanus brookei	NE - CE QLD
Pararchidendron pruinosum	Australia
Pararchidendron pruinosum	 New Guinea
Pararchidendron pruinosum	 Indonesia
Pentaceras australe	SEQ - NSW
Petalostigma triloculare	Qld to NSW
Pinus taeda	SE United States
Pittosporum angustifolium	Inland Australia
Pittosporum multiflorum	E Australia
Planchonella australis	E QLD
Planchonella australis	 E NSW
Pleiogynium timoriense	E QLD
Pleiogynium timoriense	 Malesia
Podocarpus elatus	NE QLD - SE NSW
Podocarpus elatus	 NT
Polyscias elegans	E Australia
Pouteria australis	NSW
Pouteria australis	 QLD
Pterospermum acerifolium	SE Asia
Rhodamnia argentea	NSW to QLD
Rhodomyrtus psidioides	E Australia
Rhodosphaera rhodanthema	SE QLD
Rhodosphaera rhodanthema	 NE NSW
Spathodea campanulata subsp. nilotica	Tropical Africa
Stenocarpus sinuatus	NE QLD to N NSW
Sterculia quadrifida	NT
Sterculia quadrifida	 N QLD
Sterculia quadrifida	 E QLD
Sterculia quadrifida	 NE NSW
Streblus brunonianus	E QLD
Streblus brunonianus	 E NSW
Streblus brunonianus	 New Guinea
Streblus brunonianus	 Pacific Islands
Syncarpia glomulifera subsp. glomulifera	E QLD
Syncarpia glomulifera subsp. glomulifera	 E NSW
Syncarpia hillii	SE QLD
Syzygium australe	NE QLD to SE NSW
Syzygium bungadinnia	CYP
Syzygium francisii	Central E QLD to NE NSW
Syzygium hemilamprum	E QLD
Syzygium luehmannii	NE
Syzygium luehmannii	 SE QLD
Syzygium luehmannii	 NE NSW
Syzygium moorei	SE QLD - NE NSW
Syzygium oleosum	E Australia
Syzygium smithii	Eastern Australia
Syzygium smithii	 New Zealand
Syzygium tierneyanum	NE QLD
Syzygium tierneyanum	 New Guinea
Tabebuia sp.	Tropical America
Terminalia arenicola	NE QLD
Tipuana tipu	South America
Toechima tenax	N NSW to N QLD
Toona ciliata	NE QLD - S NSW
Toona ciliata	 NG
Toona ciliata	 Mel
Vitex lignum-vitae	NSW to CYP
Vitex melicopea	CYP
Vitex melicopea	 NEQ
Vitex melicopea	SEQ
Waterhousea floribunda	NE QLD - NE NSW
Xanthorrhoea glauca	E Australia
Xanthostemon chrysanthus	NE QLD
Xanthostemon oppositifolius	Australia
Xanthostemon oppositifolius	 Papua New Guinea
